Rooms,Type,Price,Method,Seller,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea
2,h,1480000,S,Biggin,03-12-2016,2.5,3067,2,1,1,202,
2,h,1035000,S,Biggin,04-02-2016,2.5,3067,2,1,0,156,79
3,h,1465000,SP,Biggin,04-03-2017,2.5,3067,3,2,0,134,150
3,h,850000,PI,Biggin,04-03-2017,2.5,3067,3,2,1,94,
4,h,1600000,VB,Nelson,04-06-2016,2.5,3067,3,1,2,120,142
2,h,941000,S,Jellis,07-05-2016,2.5,3067,2,1,0,181,
3,h,1876000,S,Nelson,07-05-2016,2.5,3067,4,2,0,245,210
2,h,1636000,S,Nelson,08-10-2016,2.5,3067,2,1,2,256,107
1,u,300000,S,Biggin,08-10-2016,2.5,3067,1,1,1,0,
2,h,1097000,S,Biggin,08-10-2016,2.5,3067,3,1,2,220,75
2,u,700000,VB,Jellis,12-11-2016,2.5,3067,2,2,1,0,
3,h,1350000,VB,Nelson,12-11-2016,2.5,3067,3,2,2,214,190
2,u,750000,S,Biggin,12-11-2016,2.5,3067,2,2,1,0,94
2,h,1172500,S,Biggin,13-08-2016,2.5,3067,2,1,1,195,
1,u,441000,SP,Greg,14-05-2016,2.5,3067,1,1,1,0,
2,h,1310000,S,Jellis,15-10-2016,2.5,3067,2,1,2,238,97
3,h,1200000,S,Jellis,16-07-2016,2.5,3067,3,2,1,113,110
3,h,1176500,S,LITTLE,16-07-2016,2.5,3067,2,1,1,138,105
3,h,955000,S,Collins,17-09-2016,2.5,3067,3,1,0,183,
2,h,890000,S,Biggin,17-09-2016,2.5,3067,2,1,1,150,73
4,h,1330000,PI,Kay,18-03-2017,2.5,3067,4,2,2,780,135
3,t,900000,S,Beller,18-03-2017,2.5,3067,3,2,2,0,
3,u,1090000,S,Jellis,18-03-2017,2.5,3067,3,2,2,4290,27
2,u,500000,S,Collins,18-06-2016,2.5,3067,2,1,1,0,60
2,h,1100000,PI,Biggin,18-06-2016,2.5,3067,2,2,1,124,135
2,h,1315000,S,Marshall,19-11-2016,2.5,3067,2,1,0,147,85
1,u,426000,SP,Greg,22-08-2016,2.5,3067,1,1,1,0,
3,h,1447500,PI,Nelson,22-08-2016,2.5,3067,3,3,1,166,174
1,u,457000,S,Jellis,22-08-2016,2.5,3067,1,1,1,0,50
2,h,1135000,S,Nelson,22-08-2016,2.5,3067,2,2,2,98,128
4,h,1542000,S,Collins,24-09-2016,2.5,3067,4,3,1,0,
3,h,1290000,S,Biggin,25-02-2017,2.5,3067,3,2,2,147,18
3,h,1290000,S,Biggin,25-02-2017,2.5,3067,3,1,1,168,124
1,u,470000,S,Nelson,26-07-2016,2.5,3067,1,1,1,0,50
2,h,1180000,S,Jellis,27-11-2016,2.5,3067,2,1,0,162,91
3,h,1195000,SP,Jellis,27-11-2016,2.5,3067,3,2,1,120,128
2,h,1012500,S,Nelson,28-05-2016,2.5,3067,2,1,0,182,82
2,h,1030000,S,Biggin,30-07-2016,2.5,3067,2,1,1,172,81
3,t,840000,PI,Nelson,03-09-2016,13.5,3042,3,2,1,303,225
3,h,730000,VB,Nelson,03-12-2016,13.5,3042,3,2,1,0,145
3,h,770000,SP,Nelson,04-03-2017,13.5,3042,3,2,1,0,145
2,h,603000,S,Nelson,04-03-2017,13.5,3042,2,1,1,272,84
3,t,700000,S,Brad,04-03-2017,13.5,3042,3,2,2,239,134
3,h,600000,S,Maddison,04-03-2017,13.5,3042,2,1,1,290,116
2,u,500000,VB,Barry,04-03-2017,13.5,3042,2,1,1,168,86
3,h,720000,S,Barry,06-08-2016,13.5,3042,2,1,1,620,
4,h,785000,S,Considine,06-08-2016,13.5,3042,3,1,2,597,127
